actuator_id,type,from_node,to_node,is_native_rule_control,is_storage_orifice,is_storage_inlet,is_storage_outlet,priority_upstream_relief_score,priority_downstream_risk_score,priority_local_score,nearest_priority_distance,selection_score,selected,selection_rank
jichangheTank.2,ORIFICE,jichangheTank,add350,1,0,0,0,0.0,0.0,0.0,2780.726288063582,2.150815655596862,0,
VP0600010.3,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
VP0600010.4,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
VP0600010.5,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
dw3700.1,ORIFICE,dw3700,dw3701,1,0,0,0,0.0,0.0,0.0,3380.818136925403,2.0646510514915035,0,
dw3700.2,ORIFICE,dw3700,tjdw02,1,0,0,0,0.0,0.0,0.0,3380.818136925403,2.0646510514915035,0,
HS1301539.2,ORIFICE,HS1301539,OFJ_MSL01.1,0,0,0,0,0.0,0.0,0.0,398.4617994337979,2.0302266871499484,0,
ADD424.4,ORIFICE,ADD424,add400,1,0,0,0,0.0,0.0,0.0,4454.5648969394115,1.9538151488687225,0,
dwxh.2,ORIFICE,dwxh,OFJ_dwyl,1,0,0,0,0.0,0.0,0.0,5827.005681237418,1.8594442027910842,0,
JCHdwxh02.1,ORIFICE,JCHdwxh02,add339,1,0,0,0,0.0,0.0,0.0,5947.481433402291,1.8528207423982106,0,
MH0266933.1,ORIFICE,MH0266933,add442,1,0,0,0,0.0,0.0,0.0,6570.043956971716,1.8217451870145387,0,
MH0266932.2,ORIFICE,MH0266932,add441,1,0,0,0,0.0,0.0,0.0,6577.614761188494,1.8213967660867496,0,
MH0266931.2,ORIFICE,MH0266931,add440,1,0,0,0,0.0,0.0,0.0,6582.905852825273,1.8211536487773625,0,
add401.1,WEIR,add401,add340,1,0,0,0,0.0,0.0,0.0,4121.948113749746,1.7836228544448536,0,
jchX01.1,WEIR,jchX01,OFJ_jchX02,1,0,0,0,0.0,0.0,0.0,4292.519054134304,1.7679093882926127,0,
ADD424.3,WEIR,ADD424,VP0271895,1,0,0,0,0.0,0.0,0.0,4468.605539694132,1.7526299660864737,0,
ADD424.1,WEIR,ADD424,add409,1,0,0,0,0.0,0.0,0.0,4472.601469677782,1.7522936847922397,0,
ADD424.2,WEIR,ADD424,add408,1,0,0,0,0.0,0.0,0.0,4472.601469677782,1.7522936847922397,0,
JCW0000.1,WEIR,JCW0000,OFJ_cc010,1,0,0,0,0.0,0.0,0.0,4558.78126889909,1.7451490847506885,0,
HS2512760.1,ORIFICE,HS2512760,HS2512260,0,0,0,0,0.05199869781422897,0.0,0.0,2388.937122617733,1.6374085860642493,0,
HS1304001.2,ORIFICE,HS1304001,OFJ_MSL,0,0,0,0,0.0,0.0,0.0,1949.2737038038304,1.3197483173607316,0,
HS1304197.3,ORIFICE,HS1304197,OFJ_OF0261559,0,0,0,0,0.0,0.0,0.0,2832.2842927265087,1.142475331094202,0,
HS1304241.2,ORIFICE,HS1304241,OFJ_OF0248833,0,0,0,0,0.0,0.0,0.0,2907.7002541949314,1.1306270451682408,0,
HS1304225.4,ORIFICE,HS1304225,OFJ_OF0249147,0,0,0,0,0.0,0.0,0.0,2992.439945996114,1.1177885594605999,0,
add331.1,ORIFICE,add331,add330,0,0,0,0,0.0,0.0,0.0,3576.7660460882676,1.0409273684793,0,
add337.2,ORIFICE,add337,add338,0,0,0,0,0.0,0.0,0.0,4124.028538432781,0.9834254581922863,0,
add335.2,ORIFICE,add335,add336,0,0,0,0,0.0,0.0,0.0,4125.847891890453,0.9832529527370337,0,
add333.1,ORIFICE,add333,add334,0,0,0,0,0.0,0.0,0.0,4127.763371227171,0.9830714534548439,0,
add344.2,WEIR,add344,add345,0,0,0,0,0.0,0.0,0.0,2728.883827166309,0.9594070498527363,0,
