elapsed_min,intensity_mm_h,event_id
0,15.004818211678622,T5_D60_chicago_late
5,15.004861839264887,T5_D60_chicago_late
10,15.006686370330453,T5_D60_chicago_late
15,15.050706990833392,T5_D60_chicago_late
20,15.659829911561577,T5_D60_chicago_late
25,20.439408059957284,T5_D60_chicago_late
30,41.21465620064163,T5_D60_chicago_late
35,88.48023047402884,T5_D60_chicago_late
40,134.7339643818754,T5_D60_chicago_late
45,128.41130630727972,T5_D60_chicago_late
50,77.44383850024586,T5_D60_chicago_late
55,34.987529571337554,T5_D60_chicago_late
60,0.0,T5_D60_chicago_late
