elapsed_min,intensity_mm_h,event_id
0,19.16028174600299,T50_D60_chicago_center
5,19.1869890661362,T50_D60_chicago_center
10,19.821034542965187,T50_D60_chicago_center
15,27.05781239361323,T50_D60_chicago_center
20,65.59977393275524,T50_D60_chicago_center
25,153.59560157296372,T50_D60_chicago_center
30,210.7570134911265,T50_D60_chicago_center
35,153.59560157296386,T50_D60_chicago_center
40,65.5997739327553,T50_D60_chicago_center
45,27.05781239361323,T50_D60_chicago_center
50,19.82103454296519,T50_D60_chicago_center
55,19.1869890661362,T50_D60_chicago_center
60,0.0,T50_D60_chicago_center
