elapsed_min,intensity_mm_h,event_id
0,2.9548310169174217,T5_D300_chicago_center
5,2.9549425731296863,T5_D300_chicago_center
10,2.955187293894327,T5_D300_chicago_center
15,2.95570852591686,T5_D300_chicago_center
20,2.95678631798639,T5_D300_chicago_center
25,2.9589497255540946,T5_D300_chicago_center
30,2.963164668507283,T5_D300_chicago_center
35,2.9711343210187735,T5_D300_chicago_center
40,2.9857567141892107,T5_D300_chicago_center
45,3.011785707672933,T5_D300_chicago_center
50,3.056729980871129,T5_D300_chicago_center
55,3.1319919117120425,T5_D300_chicago_center
60,3.2541863446409196,T5_D300_chicago_center
65,3.4464846401277,T5_D300_chicago_center
70,3.7397074913589163,T5_D300_chicago_center
75,4.172760315868505,T5_D300_chicago_center
80,4.791903865326608,T5_D300_chicago_center
85,5.648330549018875,T5_D300_chicago_center
90,6.793628375662681,T5_D300_chicago_center
95,8.272999803231773,T5_D300_chicago_center
100,10.11656557501886,T5_D300_chicago_center
105,12.329670004864855,T5_D300_chicago_center
110,14.883695510709607,T5_D300_chicago_center
115,17.70932118441274,T5_D300_chicago_center
120,20.69424229878984,T5_D300_chicago_center
125,23.6869714968863,T5_D300_chicago_center
130,26.50744212814079,T5_D300_chicago_center
135,28.96385049478512,T5_D300_chicago_center
140,30.87377022725014,T5_D300_chicago_center
145,32.086399602225214,T5_D300_chicago_center
150,32.50220266862076,T5_D300_chicago_center
155,32.08639960222522,T5_D300_chicago_center
160,30.87377022725014,T5_D300_chicago_center
165,28.963850494785106,T5_D300_chicago_center
170,26.50744212814079,T5_D300_chicago_center
175,23.68697149688629,T5_D300_chicago_center
180,20.69424229878984,T5_D300_chicago_center
185,17.70932118441274,T5_D300_chicago_center
190,14.883695510709616,T5_D300_chicago_center
195,12.329670004864855,T5_D300_chicago_center
200,10.11656557501887,T5_D300_chicago_center
205,8.272999803231773,T5_D300_chicago_center
210,6.793628375662687,T5_D300_chicago_center
215,5.648330549018875,T5_D300_chicago_center
220,4.791903865326611,T5_D300_chicago_center
225,4.172760315868505,T5_D300_chicago_center
230,3.739707491358918,T5_D300_chicago_center
235,3.4464846401277,T5_D300_chicago_center
240,3.2541863446409196,T5_D300_chicago_center
245,3.1319919117120425,T5_D300_chicago_center
250,3.056729980871129,T5_D300_chicago_center
255,3.011785707672933,T5_D300_chicago_center
260,2.9857567141892107,T5_D300_chicago_center
265,2.9711343210187735,T5_D300_chicago_center
270,2.963164668507283,T5_D300_chicago_center
275,2.9589497255540946,T5_D300_chicago_center
280,2.95678631798639,T5_D300_chicago_center
285,2.95570852591686,T5_D300_chicago_center
290,2.955187293894327,T5_D300_chicago_center
295,2.9549425731296863,T5_D300_chicago_center
300,0.0,T5_D300_chicago_center
