elapsed_min,intensity_mm_h,event_id
0,17.832738671851796,T20_D60_chicago_late
5,17.83279052181984,T20_D60_chicago_late
10,17.834958917679884,T20_D60_chicago_late
15,17.887275994136747,T20_D60_chicago_late
20,18.611198784212696,T20_D60_chicago_late
25,24.29157204029753,T20_D60_chicago_late
30,48.98227909913717,T20_D60_chicago_late
35,105.15587762606137,T20_D60_chicago_late
40,160.12693677118398,T20_D60_chicago_late
45,152.6126631848514,T20_D60_chicago_late
50,92.03948453338045,T20_D60_chicago_late
55,41.5815415300223,T20_D60_chicago_late
60,0.0,T20_D60_chicago_late
