elapsed_min,intensity_mm_h,event_id
0,4.544912478489335,T20_D300_chicago_early
5,4.961783520778414,T20_D300_chicago_early
10,5.529824955341638,T20_D300_chicago_early
15,6.284486644610653,T20_D300_chicago_early
20,7.26151078880015,T20_D300_chicago_early
25,8.493423447027796,T20_D300_chicago_early
30,10.005094147101191,T20_D300_chicago_early
35,11.80868591428286,T20_D300_chicago_early
40,13.898535946210549,T20_D300_chicago_early
45,16.24669253159889,T20_D300_chicago_early
50,18.799935914442912,T20_D300_chicago_early
55,21.47908335666498,T20_D300_chicago_early
60,24.181193193916254,T20_D300_chicago_early
65,26.784940631759778,T20_D300_chicago_early
70,29.158977409954087,T20_D300_chicago_early
75,31.17258100861173,T20_D300_chicago_early
80,32.70744251487547,T20_D300_chicago_early
85,33.66913438394484,T20_D300_chicago_early
90,33.99671820080809,T20_D300_chicago_early
95,33.66913438394484,T20_D300_chicago_early
100,32.70744251487547,T20_D300_chicago_early
105,31.17258100861173,T20_D300_chicago_early
110,29.158977409954087,T20_D300_chicago_early
115,26.784940631759778,T20_D300_chicago_early
120,24.181193193916243,T20_D300_chicago_early
125,21.479083356664972,T20_D300_chicago_early
130,18.799935914442905,T20_D300_chicago_early
135,16.246692531598885,T20_D300_chicago_early
140,13.898535946210544,T20_D300_chicago_early
145,11.808685914282856,T20_D300_chicago_early
150,10.005094147101188,T20_D300_chicago_early
155,8.493423447027803,T20_D300_chicago_early
160,7.26151078880015,T20_D300_chicago_early
165,6.28448664461065,T20_D300_chicago_early
170,5.529824955341638,T20_D300_chicago_early
175,4.961783520778412,T20_D300_chicago_early
180,4.544912478489335,T20_D300_chicago_early
185,4.24651500302918,T20_D300_chicago_early
190,4.0381091660367465,T20_D300_chicago_early
195,3.896048751284519,T20_D300_chicago_early
200,3.8015135157266147,T20_D300_chicago_early
205,3.7400855873453898,T20_D300_chicago_early
210,3.701102936933829,T20_D300_chicago_early
215,3.6769382169731646,T20_D300_chicago_early
220,3.6623043178697827,T20_D300_chicago_early
225,3.653645433572193,T20_D300_chicago_early
230,3.6486389025030497,T20_D300_chicago_early
235,3.6458099269629325,T20_D300_chicago_early
240,3.6442475767578038,T20_D300_chicago_early
245,3.643404202852343,T20_D300_chicago_early
250,3.642959175499297,T20_D300_chicago_early
255,3.6427296096915676,T20_D300_chicago_early
260,3.6426138364547946,T20_D300_chicago_early
265,3.642556752533446,T20_D300_chicago_early
270,3.642529232676236,T20_D300_chicago_early
275,3.6425162601199617,T20_D300_chicago_early
280,3.6425102805414658,T20_D300_chicago_early
285,3.642507585295908,T20_D300_chicago_early
290,3.6425063972733622,T20_D300_chicago_early
295,3.642505885162214,T20_D300_chicago_early
300,0.0,T20_D300_chicago_early
