elapsed_min,intensity_mm_h,event_id
0,14.497853010738428,T5_D60_chicago_center
5,14.51806141929603,T5_D60_chicago_center
10,14.99781940234906,T5_D60_chicago_center
15,20.473612657422134,T5_D60_chicago_center
20,49.63684212071436,T5_D60_chicago_center
25,116.21992224437432,T5_D60_chicago_center
30,159.4717782902111,T5_D60_chicago_center
35,116.2199222443744,T5_D60_chicago_center
40,49.636842120714405,T5_D60_chicago_center
45,20.473612657422134,T5_D60_chicago_center
50,14.997819402349064,T5_D60_chicago_center
55,14.51806141929603,T5_D60_chicago_center
60,0.0,T5_D60_chicago_center
