elapsed_min,intensity_mm_h,event_id
0,18.72216318096476,T5_D60_chicago_early
5,34.98752957133754,T5_D60_chicago_early
10,77.44383850024585,T5_D60_chicago_early
15,128.4113063072797,T5_D60_chicago_early
20,134.73396438187538,T5_D60_chicago_early
25,88.48023047402884,T5_D60_chicago_early
30,41.21465620064159,T5_D60_chicago_early
35,20.43940805995729,T5_D60_chicago_early
40,15.659829911561571,T5_D60_chicago_early
45,15.050706990833387,T5_D60_chicago_early
50,15.006686370330447,T5_D60_chicago_early
55,15.004861839264882,T5_D60_chicago_early
60,0.0,T5_D60_chicago_early
