elapsed_min,intensity_mm_h,event_id
0,6.726439117966937,T50_D180_chicago_late
5,6.726440054541925,T50_D180_chicago_late
10,6.726443892271384,T50_D180_chicago_late
15,6.726458675571618,T50_D180_chicago_late
20,6.7265122015826595,T50_D180_chicago_late
25,6.726694329321246,T50_D180_chicago_late
30,6.72727658598934,T50_D180_chicago_late
35,6.72902512407743,T50_D180_chicago_late
40,6.733956130628046,T50_D180_chicago_late
45,6.747010382132081,T50_D180_chicago_late
50,6.779440869270665,T50_D180_chicago_late
55,6.855008414110854,T50_D180_chicago_late
60,7.0200712205797835,T50_D180_chicago_late
65,7.357817226283134,T50_D180_chicago_late
70,8.004629076760212,T50_D180_chicago_late
75,9.16268574420834,T50_D180_chicago_late
80,11.098307669551001,T50_D180_chicago_late
85,14.112841255371457,T50_D180_chicago_late
90,18.475923652695844,T50_D180_chicago_late
95,24.32287434896689,T50_D180_chicago_late
100,31.537800448149646,T50_D180_chicago_late
105,39.66438480167741,T50_D180_chicago_late
110,47.894692548549656,T50_D180_chicago_late
115,55.17137591447057,T50_D180_chicago_late
120,60.399252810116074,T50_D180_chicago_late
125,62.71255648693851,T50_D180_chicago_late
130,61.70917621747524,T50_D180_chicago_late
135,57.564898271292755,T50_D180_chicago_late
140,50.983077270750506,T50_D180_chicago_late
145,42.99952300262963,T50_D180_chicago_late
150,34.71693274685073,T50_D180_chicago_late
155,27.0620232795638,T50_D180_chicago_late
160,20.63629929759586,T50_D180_chicago_late
165,15.684394454475814,T50_D180_chicago_late
170,12.15787973062951,T50_D180_chicago_late
175,9.827006602389787,T50_D180_chicago_late
180,0.0,T50_D180_chicago_late
