elapsed_min,intensity_mm_h,event_id
0,3.642505669273203,T20_D300_chicago_late
5,3.642505885162213,T20_D300_chicago_late
10,3.6425063972733613,T20_D300_chicago_late
15,3.6425075852959075,T20_D300_chicago_late
20,3.642510280541465,T20_D300_chicago_late
25,3.642516260119961,T20_D300_chicago_late
30,3.6425292326762353,T20_D300_chicago_late
35,3.6425567525334452,T20_D300_chicago_late
40,3.6426138364547938,T20_D300_chicago_late
45,3.6427296096915667,T20_D300_chicago_late
50,3.6429591754992963,T20_D300_chicago_late
55,3.643404202852342,T20_D300_chicago_late
60,3.644247576757803,T20_D300_chicago_late
65,3.6458099269629316,T20_D300_chicago_late
70,3.6486389025030492,T20_D300_chicago_late
75,3.6536454335721924,T20_D300_chicago_late
80,3.662304317869782,T20_D300_chicago_late
85,3.6769382169731637,T20_D300_chicago_late
90,3.701102936933828,T20_D300_chicago_late
95,3.7400855873453893,T20_D300_chicago_late
100,3.801513515726614,T20_D300_chicago_late
105,3.896048751284518,T20_D300_chicago_late
110,4.038109166036746,T20_D300_chicago_late
115,4.24651500302918,T20_D300_chicago_late
120,4.544912478489336,T20_D300_chicago_late
125,4.9617835207784164,T20_D300_chicago_late
130,5.529824955341638,T20_D300_chicago_late
135,6.284486644610654,T20_D300_chicago_late
140,7.26151078880015,T20_D300_chicago_late
145,8.493423447027801,T20_D300_chicago_late
150,10.005094147101188,T20_D300_chicago_late
155,11.808685914282853,T20_D300_chicago_late
160,13.898535946210545,T20_D300_chicago_late
165,16.246692531598896,T20_D300_chicago_late
170,18.79993591444291,T20_D300_chicago_late
175,21.479083356664983,T20_D300_chicago_late
180,24.181193193916247,T20_D300_chicago_late
185,26.78494063175979,T20_D300_chicago_late
190,29.15897740995408,T20_D300_chicago_late
195,31.17258100861173,T20_D300_chicago_late
200,32.70744251487546,T20_D300_chicago_late
205,33.66913438394483,T20_D300_chicago_late
210,33.99671820080808,T20_D300_chicago_late
215,33.66913438394482,T20_D300_chicago_late
220,32.70744251487546,T20_D300_chicago_late
225,31.172581008611715,T20_D300_chicago_late
230,29.15897740995408,T20_D300_chicago_late
235,26.784940631759767,T20_D300_chicago_late
240,24.181193193916233,T20_D300_chicago_late
245,21.479083356664965,T20_D300_chicago_late
250,18.799935914442894,T20_D300_chicago_late
255,16.24669253159888,T20_D300_chicago_late
260,13.89853594621053,T20_D300_chicago_late
265,11.808685914282853,T20_D300_chicago_late
270,10.005094147101177,T20_D300_chicago_late
275,8.493423447027794,T20_D300_chicago_late
280,7.261510788800144,T20_D300_chicago_late
285,6.284486644610651,T20_D300_chicago_late
290,5.529824955341634,T20_D300_chicago_late
295,4.961783520778413,T20_D300_chicago_late
300,0.0,T20_D300_chicago_late
