elapsed_min,intensity_mm_h,event_id
0,3.224127729179052,T10_D300_chicago_center
5,3.2242494523758327,T10_D300_chicago_center
10,3.224516476445455,T10_D300_chicago_center
15,3.2250852123926417,T10_D300_chicago_center
20,3.2262612320288797,T10_D300_chicago_center
25,3.228621807739849,T10_D300_chicago_center
30,3.2332208911982527,T10_D300_chicago_center
35,3.2419168800744704,T10_D300_chicago_center
40,3.2578719255636535,T10_D300_chicago_center
45,3.286273143492196,T10_D300_chicago_center
50,3.335313537564299,T10_D300_chicago_center
55,3.4174346730155203,T10_D300_chicago_center
60,3.55076563417766,T10_D300_chicago_center
65,3.7605895676625583,T10_D300_chicago_center
70,4.080536095931294,T10_D300_chicago_center
75,4.553056389547698,T10_D300_chicago_center
80,5.228627301969184,T10_D300_chicago_center
85,6.163106804550588,T10_D300_chicago_center
90,7.412784522128843,T10_D300_chicago_center
95,9.026982563936526,T10_D300_chicago_center
100,11.038566810667833,T10_D300_chicago_center
105,13.45336864501411,T10_D300_chicago_center
110,16.240162342277763,T10_D300_chicago_center
115,19.323309241273886,T10_D300_chicago_center
120,22.58026941232119,T10_D300_chicago_center
125,25.845749278433022,T10_D300_chicago_center
130,28.92327131590285,T10_D300_chicago_center
135,31.603551265497927,T10_D300_chicago_center
140,33.6875368249736,T10_D300_chicago_center
145,35.01068253810913,T10_D300_chicago_center
150,35.46438096910845,T10_D300_chicago_center
155,35.01068253810914,T10_D300_chicago_center
160,33.6875368249736,T10_D300_chicago_center
165,31.603551265497913,T10_D300_chicago_center
170,28.92327131590285,T10_D300_chicago_center
175,25.845749278433008,T10_D300_chicago_center
180,22.58026941232119,T10_D300_chicago_center
185,19.323309241273886,T10_D300_chicago_center
190,16.240162342277774,T10_D300_chicago_center
195,13.45336864501411,T10_D300_chicago_center
200,11.038566810667842,T10_D300_chicago_center
205,9.026982563936526,T10_D300_chicago_center
210,7.412784522128849,T10_D300_chicago_center
215,6.163106804550588,T10_D300_chicago_center
220,5.228627301969187,T10_D300_chicago_center
225,4.553056389547698,T10_D300_chicago_center
230,4.080536095931296,T10_D300_chicago_center
235,3.7605895676625583,T10_D300_chicago_center
240,3.55076563417766,T10_D300_chicago_center
245,3.4174346730155203,T10_D300_chicago_center
250,3.335313537564299,T10_D300_chicago_center
255,3.286273143492196,T10_D300_chicago_center
260,3.2578719255636535,T10_D300_chicago_center
265,3.2419168800744704,T10_D300_chicago_center
270,3.2332208911982527,T10_D300_chicago_center
275,3.228621807739849,T10_D300_chicago_center
280,3.2262612320288797,T10_D300_chicago_center
285,3.2250852123926417,T10_D300_chicago_center
290,3.224516476445455,T10_D300_chicago_center
295,3.2242494523758327,T10_D300_chicago_center
300,0.0,T10_D300_chicago_center
