elapsed_min,intensity_mm_h,event_id
0,5.356531810090111,T10_D180_chicago_center
5,5.356990621847809,T10_D180_chicago_center
10,5.358626225718655,T10_D180_chicago_center
15,5.363998224819928,T10_D180_chicago_center
20,5.380246101033579,T10_D180_chicago_center
25,5.4254736365632485,T10_D180_chicago_center
30,5.541254739661455,T10_D180_chicago_center
35,5.813589858926438,T10_D180_chicago_center
40,6.401477632621839,T10_D180_chicago_center
45,7.564399872568402,T10_D180_chicago_center
50,9.668138999188043,T10_D180_chicago_center
55,13.13874456196882,T10_D180_chicago_center
60,18.33935849501932,T10_D180_chicago_center
65,25.375399930273513,T10_D180_chicago_center
70,33.88738100820729,T10_D180_chicago_center
75,42.939855301821844,T10_D180_chicago_center
80,51.11601978383986,T10_D180_chicago_center
85,56.85243891481573,T10_D180_chicago_center
90,58.920148562028025,T10_D180_chicago_center
95,56.85243891481573,T10_D180_chicago_center
100,51.11601978383986,T10_D180_chicago_center
105,42.93985530182188,T10_D180_chicago_center
110,33.88738100820733,T10_D180_chicago_center
115,25.375399930273527,T10_D180_chicago_center
120,18.339358495019333,T10_D180_chicago_center
125,13.138744561968831,T10_D180_chicago_center
130,9.668138999188043,T10_D180_chicago_center
135,7.564399872568402,T10_D180_chicago_center
140,6.401477632621842,T10_D180_chicago_center
145,5.813589858926439,T10_D180_chicago_center
150,5.541254739661456,T10_D180_chicago_center
155,5.425473636563249,T10_D180_chicago_center
160,5.380246101033579,T10_D180_chicago_center
165,5.363998224819928,T10_D180_chicago_center
170,5.358626225718655,T10_D180_chicago_center
175,5.356990621847809,T10_D180_chicago_center
180,0.0,T10_D180_chicago_center
