elapsed_min,intensity_mm_h,event_id
0,4.909125092134366,T5_D180_chicago_center
5,4.909545581434559,T5_D180_chicago_center
10,4.911044570759711,T5_D180_chicago_center
15,4.915967871230606,T5_D180_chicago_center
20,4.930858636308129,T5_D180_chicago_center
25,4.972308521680948,T5_D180_chicago_center
30,5.0784189562990605,T5_D180_chicago_center
35,5.3280071627827335,T5_D180_chicago_center
40,5.866791346939114,T5_D180_chicago_center
45,6.932579986067299,T5_D180_chicago_center
50,8.86060336013545,T5_D180_chicago_center
55,12.041325039236543,T5_D180_chicago_center
60,16.807555364827067,T5_D180_chicago_center
65,23.255908288642228,T5_D180_chicago_center
70,31.05692233559413,T5_D180_chicago_center
75,39.353284660368026,T5_D180_chicago_center
80,46.84653134294811,T5_D180_chicago_center
85,52.10381349738742,T5_D180_chicago_center
90,53.998816770448805,T5_D180_chicago_center
95,52.10381349738742,T5_D180_chicago_center
100,46.84653134294811,T5_D180_chicago_center
105,39.35328466036806,T5_D180_chicago_center
110,31.05692233559416,T5_D180_chicago_center
115,23.25590828864224,T5_D180_chicago_center
120,16.80755536482708,T5_D180_chicago_center
125,12.041325039236552,T5_D180_chicago_center
130,8.86060336013545,T5_D180_chicago_center
135,6.932579986067299,T5_D180_chicago_center
140,5.866791346939117,T5_D180_chicago_center
145,5.328007162782734,T5_D180_chicago_center
150,5.078418956299061,T5_D180_chicago_center
155,4.972308521680949,T5_D180_chicago_center
160,4.930858636308129,T5_D180_chicago_center
165,4.915967871230606,T5_D180_chicago_center
170,4.911044570759711,T5_D180_chicago_center
175,4.909545581434559,T5_D180_chicago_center
180,0.0,T5_D180_chicago_center
