elapsed_min,intensity_mm_h,event_id
0,16.372323896218216,T10_D60_chicago_late
5,16.372371499925446,T10_D60_chicago_late
10,16.37436231468526,T10_D60_chicago_late
15,16.422394876414376,T10_D60_chicago_late
20,17.087031902340506,T10_D60_chicago_late
25,22.30221014901299,T10_D60_chicago_late
30,44.970868095088655,T10_D60_chicago_late
35,96.54412144795833,T10_D60_chicago_late
40,147.01331755986755,T10_D60_chicago_late
45,140.114426522204,T10_D60_chicago_late
50,84.50189731093003,T10_D60_chicago_late
55,38.17621502569126,T10_D60_chicago_late
60,0.0,T10_D60_chicago_late
