elapsed_min,intensity_mm_h,event_id
0,6.929340372649215,T10_D180_chicago_early
5,8.113395348590927,T10_D180_chicago_early
10,10.037816076284013,T10_D180_chicago_early
15,12.94938511402476,T10_D180_chicago_early
20,17.037787955950662,T10_D180_chicago_early
25,22.343008678398277,T10_D180_chicago_early
30,28.663072292751277,T10_D180_chicago_early
35,35.501363134967555,T10_D180_chicago_early
40,42.09276321079971,T10_D180_chicago_early
45,47.526861105683736,T10_D180_chicago_early
50,50.9484692079565,T10_D180_chicago_early
55,51.77688228841087,T10_D180_chicago_early
60,49.866967290811786,T10_D180_chicago_early
65,45.55071578062951,T10_D180_chicago_early
70,39.54292405289481,T10_D180_chicago_early
75,32.74779881356646,T10_D180_chicago_early
80,26.03830991612236,T10_D180_chicago_early
85,20.081506362199743,T10_D180_chicago_early
90,15.254133744883136,T10_D180_chicago_early
95,11.651875818307408,T10_D180_chicago_early
100,9.163009802137346,T10_D180_chicago_early
105,7.564917263776114,T10_D180_chicago_early
110,6.608799906859566,T10_D180_chicago_early
115,6.074777648464214,T10_D180_chicago_early
120,5.795927029699765,T10_D180_chicago_early
125,5.659647503246134,T10_D180_chicago_early
130,5.59725725648862,T10_D180_chicago_early
135,5.570481924574349,T10_D180_chicago_early
140,5.559704044013404,T10_D180_chicago_early
145,5.5556328952668546,T10_D180_chicago_early
150,5.554189263308036,T10_D180_chicago_early
155,5.553708539244876,T10_D180_chicago_early
160,5.55355817053069,T10_D180_chicago_early
165,5.553513978264765,T10_D180_chicago_early
170,5.553501772843093,T10_D180_chicago_early
175,5.553498604328245,T10_D180_chicago_early
180,0.0,T10_D180_chicago_early
