elapsed_min,intensity_mm_h,event_id
0,7.547439008478716,T20_D180_chicago_early
5,8.837111940245695,T20_D180_chicago_early
10,10.933191406372835,T20_D180_chicago_early
15,14.104473021872687,T20_D180_chicago_early
20,18.557562267325586,T20_D180_chicago_early
25,24.336009807186063,T20_D180_chicago_early
30,31.219824440872205,T20_D180_chicago_early
35,38.66809228142768,T20_D180_chicago_early
40,45.847446646698316,T20_D180_chicago_early
45,51.766267230202075,T20_D180_chicago_early
50,55.4930835033284,T20_D180_chicago_early
55,56.39539120684865,T20_D180_chicago_early
60,54.315111385026775,T20_D180_chicago_early
65,49.613849321622,T20_D180_chicago_early
70,43.070161293293125,T20_D180_chicago_early
75,35.668909436588976,T20_D180_chicago_early
80,28.360932701688867,T20_D180_chicago_early
85,21.872781003126587,T20_D180_chicago_early
90,16.61480572106264,T20_D180_chicago_early
95,12.691225620862584,T20_D180_chicago_early
100,9.98035222641028,T20_D180_chicago_early
105,8.239709493547242,T20_D180_chicago_early
110,7.198306264928437,T20_D180_chicago_early
115,6.6166491074423135,T20_D180_chicago_early
120,6.312924954143635,T20_D180_chicago_early
125,6.164489264929554,T20_D180_chicago_early
130,6.096533794884395,T20_D180_chicago_early
135,6.067370097665481,T20_D180_chicago_early
140,6.055630827864928,T20_D180_chicago_early
145,6.051196531783831,T20_D180_chicago_early
150,6.049624127547075,T20_D180_chicago_early
155,6.0491005227951815,T20_D180_chicago_early
160,6.048936741159691,T20_D180_chicago_early
165,6.048888606934241,T20_D180_chicago_early
170,6.048875312786359,T20_D180_chicago_early
175,6.048871861639312,T20_D180_chicago_early
180,0.0,T20_D180_chicago_early
