elapsed_min,intensity_mm_h,event_id
0,8.392870144563599,T50_D180_chicago_early
5,9.82700660238979,T50_D180_chicago_early
10,12.15787973062951,T50_D180_chicago_early
15,15.684394454475813,T50_D180_chicago_early
20,20.636299297595855,T50_D180_chicago_early
25,27.062023279563792,T50_D180_chicago_early
30,34.71693274685072,T50_D180_chicago_early
35,42.99952300262961,T50_D180_chicago_early
40,50.983077270750485,T50_D180_chicago_early
45,57.56489827129276,T50_D180_chicago_early
50,61.70917621747524,T50_D180_chicago_early
55,62.7125564869385,T50_D180_chicago_early
60,60.39925281011606,T50_D180_chicago_early
65,55.171375914470566,T50_D180_chicago_early
70,47.89469254854966,T50_D180_chicago_early
75,39.664384801677414,T50_D180_chicago_early
80,31.537800448149618,T50_D180_chicago_early
85,24.32287434896688,T50_D180_chicago_early
90,18.475923652695837,T50_D180_chicago_early
95,14.112841255371448,T50_D180_chicago_early
100,11.098307669550996,T50_D180_chicago_early
105,9.162685744208344,T50_D180_chicago_early
110,8.004629076760212,T50_D180_chicago_early
115,7.357817226283132,T50_D180_chicago_early
120,7.020071220579783,T50_D180_chicago_early
125,6.855008414110852,T50_D180_chicago_early
130,6.779440869270664,T50_D180_chicago_early
135,6.74701038213208,T50_D180_chicago_early
140,6.733956130628045,T50_D180_chicago_early
145,6.7290251240774275,T50_D180_chicago_early
150,6.7272765859893395,T50_D180_chicago_early
155,6.726694329321245,T50_D180_chicago_early
160,6.726512201582659,T50_D180_chicago_early
165,6.7264586755716165,T50_D180_chicago_early
170,6.726443892271383,T50_D180_chicago_early
175,6.726440054541924,T50_D180_chicago_early
180,0.0,T50_D180_chicago_early
