elapsed_min,intensity_mm_h,event_id
0,22.250682325364853,T20_D60_chicago_early
5,41.581541530022285,T20_D60_chicago_early
10,92.03948453338042,T20_D60_chicago_early
15,152.61266318485139,T20_D60_chicago_early
20,160.12693677118395,T20_D60_chicago_early
25,105.15587762606137,T20_D60_chicago_early
30,48.98227909913713,T20_D60_chicago_early
35,24.291572040297538,T20_D60_chicago_early
40,18.61119878421269,T20_D60_chicago_early
45,17.88727599413674,T20_D60_chicago_early
50,17.834958917679877,T20_D60_chicago_early
55,17.832790521819835,T20_D60_chicago_early
60,0.0,T20_D60_chicago_early
