elapsed_min,intensity_mm_h,event_id
0,17.23022701082729,T20_D60_chicago_center
5,17.25424404746831,T20_D60_chicago_center
10,17.82442081447909,T20_D60_chicago_center
15,24.332223092470347,T20_D60_chicago_center
20,58.99177327891402,T20_D60_chicago_center
25,138.12359954043092,T20_D60_chicago_center
30,189.52702443081978,T20_D60_chicago_center
35,138.12359954043103,T20_D60_chicago_center
40,58.99177327891406,T20_D60_chicago_center
45,24.332223092470347,T20_D60_chicago_center
50,17.824420814479094,T20_D60_chicago_center
55,17.25424404746831,T20_D60_chicago_center
60,0.0,T20_D60_chicago_center
