elapsed_min,intensity_mm_h,event_id
0,20.428459399663367,T10_D60_chicago_early
5,38.176215025691256,T10_D60_chicago_early
10,84.50189731093,T10_D60_chicago_early
15,140.11442652220398,T10_D60_chicago_early
20,147.01331755986752,T10_D60_chicago_early
25,96.54412144795833,T10_D60_chicago_early
30,44.97086809508861,T10_D60_chicago_early
35,22.302210149012996,T10_D60_chicago_early
40,17.0870319023405,T10_D60_chicago_early
45,16.422394876414373,T10_D60_chicago_early
50,16.374362314685253,T10_D60_chicago_early
55,16.37237149992544,T10_D60_chicago_early
60,0.0,T10_D60_chicago_early
