elapsed_min,intensity_mm_h,event_id
0,3.905088205407506,T50_D300_chicago_center
5,3.9052356374759594,T50_D300_chicago_center
10,3.9055590590747395,T50_D300_chicago_center
15,3.90624791641102,T50_D300_chicago_center
20,3.9076723204038393,T50_D300_chicago_center
25,3.910531467789177,T50_D300_chicago_center
30,3.9161019129072643,T50_D300_chicago_center
35,3.926634561253526,T50_D300_chicago_center
40,3.9459594345805553,T50_D300_chicago_center
45,3.980359207315428,T50_D300_chicago_center
50,4.0397573083107226,T50_D300_chicago_center
55,4.13922305669374,T50_D300_chicago_center
60,4.300714538292857,T50_D300_chicago_center
65,4.554854893976817,T50_D300_chicago_center
70,4.94237658010476,T50_D300_chicago_center
75,5.514696779679158,T50_D300_chicago_center
80,6.332953444307417,T50_D300_chicago_center
85,7.464802176818676,T50_D300_chicago_center
90,8.978421402046461,T50_D300_chicago_center
95,10.933550436546636,T50_D300_chicago_center
100,13.369996686799308,T50_D300_chicago_center
105,16.29482316819407,T50_D300_chicago_center
110,19.67020904375902,T50_D300_chicago_center
115,23.4045401876043,T50_D300_chicago_center
120,27.34939529812976,T50_D300_chicago_center
125,31.30456952858619,T50_D300_chicago_center
130,35.032087797059134,T50_D300_chicago_center
135,38.278463405453245,T50_D300_chicago_center
140,40.80260268036348,T50_D300_chicago_center
145,42.40520690464361,T50_D300_chicago_center
150,42.954729920023176,T50_D300_chicago_center
155,42.40520690464362,T50_D300_chicago_center
160,40.80260268036348,T50_D300_chicago_center
165,38.27846340545322,T50_D300_chicago_center
170,35.032087797059134,T50_D300_chicago_center
175,31.304569528586175,T50_D300_chicago_center
180,27.34939529812976,T50_D300_chicago_center
185,23.4045401876043,T50_D300_chicago_center
190,19.67020904375903,T50_D300_chicago_center
195,16.29482316819407,T50_D300_chicago_center
200,13.369996686799318,T50_D300_chicago_center
205,10.933550436546636,T50_D300_chicago_center
210,8.978421402046468,T50_D300_chicago_center
215,7.464802176818676,T50_D300_chicago_center
220,6.33295344430742,T50_D300_chicago_center
225,5.514696779679158,T50_D300_chicago_center
230,4.942376580104762,T50_D300_chicago_center
235,4.554854893976817,T50_D300_chicago_center
240,4.300714538292857,T50_D300_chicago_center
245,4.13922305669374,T50_D300_chicago_center
250,4.0397573083107226,T50_D300_chicago_center
255,3.980359207315428,T50_D300_chicago_center
260,3.9459594345805553,T50_D300_chicago_center
265,3.926634561253526,T50_D300_chicago_center
270,3.9161019129072643,T50_D300_chicago_center
275,3.910531467789177,T50_D300_chicago_center
280,3.9076723204038393,T50_D300_chicago_center
285,3.90624791641102,T50_D300_chicago_center
290,3.9055590590747395,T50_D300_chicago_center
295,3.9052356374759594,T50_D300_chicago_center
300,0.0,T50_D300_chicago_center
