elapsed_min,intensity_mm_h,event_id
0,19.83028413037248,T50_D60_chicago_late
5,19.830341788347365,T50_D60_chicago_late
10,19.83275307843595,T50_D60_chicago_late
15,19.890930485176483,T50_D60_chicago_late
20,20.695943942717793,T50_D60_chicago_late
25,27.01260778821754,T50_D60_chicago_late
30,54.469059955569335,T50_D60_chicago_late
35,116.93497951579276,T50_D60_chicago_late
40,178.06365648765657,T50_D60_chicago_late
45,169.70766681089793,T50_D60_chicago_late
50,102.34934538635434,T50_D60_chicago_late
55,46.23932410453473,T50_D60_chicago_late
60,0.0,T50_D60_chicago_late
