elapsed_min,intensity_mm_h,event_id
0,5.834335587439877,T20_D180_chicago_center
5,5.834835325303998,T20_D180_chicago_center
10,5.8366168253881865,T20_D180_chicago_center
15,5.842468007952474,T20_D180_chicago_center
20,5.86016519818199,T20_D180_chicago_center
25,5.909427039505493,T20_D180_chicago_center
30,6.035535841638706,T20_D180_chicago_center
35,6.332163311496043,T20_D180_chicago_center
40,6.97249079970976,T20_D180_chicago_center
45,8.239145950933699,T20_D180_chicago_center
50,10.530539055331257,T20_D180_chicago_center
55,14.310723372869747,T20_D180_chicago_center
60,19.975233175458175,T20_D180_chicago_center
65,27.63889100403262,T20_D180_chicago_center
70,36.91014260549906,T20_D180_chicago_center
75,46.77009953250395,T20_D180_chicago_center
80,55.67557962623594,T20_D180_chicago_center
85,61.923688564425994,T20_D180_chicago_center
90,64.17583835218588,T20_D180_chicago_center
95,61.923688564425994,T20_D180_chicago_center
100,55.67557962623594,T20_D180_chicago_center
105,46.77009953250399,T20_D180_chicago_center
110,36.9101426054991,T20_D180_chicago_center
115,27.63889100403263,T20_D180_chicago_center
120,19.975233175458193,T20_D180_chicago_center
125,14.310723372869758,T20_D180_chicago_center
130,10.530539055331257,T20_D180_chicago_center
135,8.239145950933699,T20_D180_chicago_center
140,6.972490799709763,T20_D180_chicago_center
145,6.332163311496044,T20_D180_chicago_center
150,6.035535841638707,T20_D180_chicago_center
155,5.909427039505494,T20_D180_chicago_center
160,5.86016519818199,T20_D180_chicago_center
165,5.842468007952474,T20_D180_chicago_center
170,5.8366168253881865,T20_D180_chicago_center
175,5.834835325303998,T20_D180_chicago_center
180,0.0,T20_D180_chicago_center
