elapsed_min,intensity_mm_h,event_id
0,6.350564115242267,T5_D180_chicago_early
5,7.435720369128908,T5_D180_chicago_early
10,9.199402993835038,T5_D180_chicago_early
15,11.867781923972329,T5_D180_chicago_early
20,15.614699087844127,T5_D180_chicago_early
25,20.47679887390713,T5_D180_chicago_early
30,26.268976344908424,T5_D180_chicago_early
35,32.53609588251681,T5_D180_chicago_early
40,38.576946315554686,T5_D180_chicago_early
45,43.55715875051845,T5_D180_chicago_early
50,46.692975503940275,T5_D180_chicago_early
55,47.452195010907495,T5_D180_chicago_early
60,45.70180651869397,T5_D180_chicago_early
65,41.74607184860672,T5_D180_chicago_early
70,36.240083615066574,T5_D180_chicago_early
75,30.01252425403644,T5_D180_chicago_early
80,23.863448421088908,T5_D180_chicago_early
85,18.404189551311983,T5_D180_chicago_early
90,13.98002539343076,T5_D180_chicago_early
95,10.678647673171252,T5_D180_chicago_early
100,8.39766530545235,T5_D180_chicago_early
105,6.933054161942713,T5_D180_chicago_early
110,6.056796935387522,T5_D180_chicago_early
115,5.567379125246154,T5_D180_chicago_early
120,5.311819629276181,T5_D180_chicago_early
125,5.186922911292077,T5_D180_chicago_early
130,5.129743837831741,T5_D180_chicago_early
135,5.105204927504918,T5_D180_chicago_early
140,5.0953272742438855,T5_D180_chicago_early
145,5.091596170019348,T5_D180_chicago_early
150,5.090273118066311,T5_D180_chicago_early
155,5.089832546695783,T5_D180_chicago_early
160,5.089694737595781,T5_D180_chicago_early
165,5.089654236508655,T5_D180_chicago_early
170,5.089643050550293,T5_D180_chicago_early
175,5.089640146687066,T5_D180_chicago_early
180,0.0,T5_D180_chicago_early
