elapsed_min,intensity_mm_h,event_id
0,3.344202127813675,T10_D300_chicago_late
5,3.3442023260224225,T10_D300_chicago_late
10,3.3442027961941525,T10_D300_chicago_late
15,3.344203886923416,T10_D300_chicago_late
20,3.3442063614414392,T10_D300_chicago_late
25,3.3442118513214685,T10_D300_chicago_late
30,3.344223761488325,T10_D300_chicago_late
35,3.3442490276027512,T10_D300_chicago_late
40,3.3443014366279034,T10_D300_chicago_late
45,3.3444077285982976,T10_D300_chicago_late
50,3.3446184940801906,T10_D300_chicago_late
55,3.345027075852223,T10_D300_chicago_late
60,3.345801381526742,T10_D300_chicago_late
65,3.347235782830344,T10_D300_chicago_late
70,3.3498330789994615,T10_D300_chicago_late
75,3.3544295994649285,T10_D300_chicago_late
80,3.362379363150065,T10_D300_chicago_late
85,3.375814816918214,T10_D300_chicago_late
90,3.3980005635574497,T10_D300_chicago_late
95,3.433790724037878,T10_D300_chicago_late
100,3.490188003123148,T10_D300_chicago_late
105,3.576981261558678,T10_D300_chicago_late
110,3.7074076175970707,T10_D300_chicago_late
115,3.8987460276915575,T10_D300_chicago_late
120,4.172706197688272,T10_D300_chicago_late
125,4.555437524205388,T10_D300_chicago_late
130,5.076959121323917,T10_D300_chicago_late
135,5.769817679739414,T10_D300_chicago_late
140,6.66682828688441,T10_D300_chicago_late
145,7.797853275446071,T10_D300_chicago_late
150,9.185725479567502,T10_D300_chicago_late
155,10.841611831755293,T10_D300_chicago_late
160,12.760313285685651,T10_D300_chicago_late
165,14.916167239610251,T10_D300_chicago_late
170,17.260312377327182,T10_D300_chicago_late
175,19.720050642825438,T10_D300_chicago_late
180,22.200870794609855,T10_D300_chicago_late
185,24.591383950259434,T10_D300_chicago_late
190,26.77099863476572,T10_D300_chicago_late
195,28.619697868375372,T10_D300_chicago_late
200,30.028861664178237,T10_D300_chicago_late
205,30.9117956351457,T10_D300_chicago_late
210,31.21255192679205,T10_D300_chicago_late
215,30.911795635145694,T10_D300_chicago_late
220,30.028861664178237,T10_D300_chicago_late
225,28.619697868375358,T10_D300_chicago_late
230,26.77099863476572,T10_D300_chicago_late
235,24.591383950259416,T10_D300_chicago_late
240,22.200870794609838,T10_D300_chicago_late
245,19.72005064282542,T10_D300_chicago_late
250,17.26031237732717,T10_D300_chicago_late
255,14.916167239610239,T10_D300_chicago_late
260,12.760313285685637,T10_D300_chicago_late
265,10.841611831755293,T10_D300_chicago_late
270,9.185725479567491,T10_D300_chicago_late
275,7.797853275446065,T10_D300_chicago_late
280,6.666828286884405,T10_D300_chicago_late
285,5.76981767973941,T10_D300_chicago_late
290,5.076959121323913,T10_D300_chicago_late
295,4.555437524205384,T10_D300_chicago_late
300,0.0,T10_D300_chicago_late
